id	group	english	comments for translator	arabic	arabic_comments	bengali	bengali_comments	 chinese (simplified)	 chinese_simplified_comments	 chinese (traditional)	 chinese_traditional_comments	czech	czech_comments	 danish	danish_comments	 dutch	dutch_comments	 farsi/persian	farsi_comments	 finnish	finnish_comments	 french	french_comments	 german	german_comments	 greek	greek_comments	 hebrew	hebrew_comments	 hindi	hindi_comments	hungarian	hungarian_comments	indonesian	indonesian_comments	 italian	italian_comments	 japanese	 japanese_comments	jaVanese	javanese_comments	 korean	 korean_comments	 norweigan	 norweigan_comments	 polish	 polish_comments	 portuguese	 portuguese_comments	 portuguese_br	 portuguese_br_comments	 russian	 russian_comments	 spanish	 spanish_comments	 swedish	 swedish_comments	thai	thai_comments	 turkish	turkish_comments	vietnamese	vietnamese_comments	sentinel
970	Game Level	Intermediate																																																														0
980	Game Level	Advanced																																																														0
990	Game Level	Easy																																																										Kolay				0
1000	Game Level	Normal																																																										Normal				0
1010	Game Level	Difficult																																																										Zor				0
1020	Game Level	Hard																																																										Çok zor				0
1030	Game Level	Insane																																																										Aşmış	literal translation of Insane is 'deli'			0
1040	Misc	Option																																																														0
1050	Misc	Options																																																														0
1070	Misc	Adventure																																																														0
1080	directions	north																																																														0
1090	directions	south																																																														0
1100	directions	east																																																														0
1110	directions	west																																																														0
1120	directions	right																																																														0
1130	directions	left																																																														0
1140	directions	turn right																																																														0
1150	directions	turn left																																																														0
1160	directions	up																																																														0
1170	directions	down																																																														0
1180	social	Share	Share on Twitter, Facebook																																																													0
1190	Seven Wonders	Time Remaining																																																														0
1200	Seven Wonders	death																																																														0
1210	Seven Wonders	soundtrack																																																														0
1220	Seven Wonders	pyramid																																																														0
1230	Seven Wonders	carpet																																																														0
1240	Seven Wonders	Ankh	http://en.wikipedia.org/wiki/Ankh																																																													0
1250	Seven Wonders	bump																																																														0
1260	Seven Wonders	ground																																																														0
1270	Seven Wonders	Sphinx	of Egypt																																																													0
1280	Seven Wonders	terrain																																																														0
1290	Seven Wonders	dunes	sand dunes																																																													0
1300	Seven Wonders	sword																																																														0
1310	Seven Wonders	wind																																																														0
1320	Account Management	Accounts																																																														0
1330	Account Management	Updated Just Now																																																														0
1340	Account Management	Buy	To purchase																																																													0
1350	Account Management	Account Name																																																														0
1370	Account Management	Sign In																																																														0
1380	Account Management	Required																																																														0
1390	Misc	Usage 																				 Utilisation		 Nutzung														 使用																 Uso										0
1400	Misc	History 																				 L'histoire		 Verlauf														 ヒストリリスト																 Historia										0
1410	Misc	Settings 																				 Paramètres	Réglages	 Einstellungen														 設定																 Configuración										0
1420	Misc	Received 																				 Reçues		 Empfangen														 もらいました																 Recibió										0
1430	Misc	Sent 																				 Envoyé		 Gesendet														 送信																 Enviado										0
1440	Misc	Authentication 																				 D'authentification		 Authentifizierung														 認証情報																 Autenticación										0
1450	Misc	Username 																				 Nom d'utilisateur		 Benutzername														 ユーザー名																 Nombre de usuario										0
1470	Misc	Display 																				 Affichage		 Anzeige														 表																 Pantalla										0
1480	Misc	Warning level 																				 Niveau avertissement		 Warnstufe														 メッセージの次元																 Nivel de advertencia										0
1490	Misc	Alert level 																				 Niveau d'alerte		 Alarmstufe														 警報の次元																 Nivel de alerta										0
1510	Misc	Source 																				 Source		 Quelle														 原始																 Fuente										0
1520	Misc	enter 						 进入																																																								0
1530	Misc	demo 						 这是一个例子																																																								0
1540	Misc	Search 																				Recherche		Suche																														Buscar						Ara				0
1550	Misc	Categories 																				Catégories		Kategorien																														Categorías										0
1560	Misc	Devices 																				Matériels		Geräte																														Dispositivo										0
1570	Misc	All 																				Tout		Alle																														Todo										0
1580	Misc	Favorites 																				Favoris		Favoriten																														Favoritos										0
1590	Misc	Required 																				Impératif		Benötigt																														Requerido										0
1600	Misc	Login 																				Login		Anmelden																														Ingresar										0
1610	Misc	Email 																				Adresse mel		E-Mail																														Email										0
1620	Misc	Password 																				Mot de passe		Passwort	 Kennwort													 パスワード																Contraseña										0
1630	Misc	Your Name 																				Votre nom		Dein Name																														Tu Nombre										0
1640	Misc	Register 																				Enregistrer		Registrieren																														Registrarse										0
1650	Misc	again 																				A nouveau		erneut																														otra vez										0
1670	Misc	Logout 																				Sortir		Abmelden																														Cerrar Sesión										0
1680	Misc	Please check your internet connection and try again. 																				Vérifiez votre connexion Internet et essayez à nouveau		Überprüfe Deine Internet-Verbindung und versuche es erneut.																														Por favor revise su conexión de internet y vuelva intentar.										0
1690	Misc	Retry 																				Essayer à nouveau		Erneut versuchen																														Volver a procesa										0
1700	Misc	Error 																				Erreur		Fehler																														Error										0
1710	Misc	Try Again 																				Essayez à nouveau		Noch mal versuchen																														Intente Otra Vez										0
1720	Misc	Create an Account 																				Créez un compte		Benutzerkonto anlegen																														Crear Una Cuenta										0
1730	Misc	Logged in as %@ 																				Loggé en tant que %@		Angemeldet als %@																														Ingresado/a como %@										0
1740	Misc	Search Results 																				Résultats de recherche		Suchergebnisse																														Resultados de la Búsqueda										0
1750	Misc	No Results Found 																				Pas de résultats trouvés		Suche ohne Ergebnis																														No Hay Resultados										0
1760	Misc	General Information 																				Information générale		Allgemeine Angaben																														Información General										0
1770	Misc	Loading... 																				Chargement en cours...		Wird geladen...																														Cargando...										0
1780	Misc	Browse 																				Visualiser		Durchsuchen																														Navegar										0
1790	Misc	Guides 																				Guides		Anleitungen																														Guías										0
1800	Misc	Projects 																				Projets		Projekte																														Proyectos										0
1810	Misc	More Info 																				Information supplémentaire		Weitere Infos																														Más Información										0
1820	Misc	Answers 																				Réponses		Antworten																														Respuestas										0
1830	Misc	Back 																				Retour		Zurück																														Retrasar										0
1840	Misc	Favorite 																				Favori		Favorit																														Favorito										0
1850	Misc	Downloading																				Chargement en cours		Wird geladen																														Descargando										0
1860	Misc	Saved 																				Enregistré		Gespeichert																														Guardado										0
1870	Misc	Step %d 																				Étape %d		Schritt %d																														Paso %d										0
1880	Misc	Store 	noun - Place to buy things.																			Boutique		Shop																														Tienda										0
1890	Misc	Okay 																				OK		Okay																														Bueno										0
1900	Misc	Untitled 																				Sans titre		Unbenannt																														Intitulado										0
1910	Misc	All fields are required 																				Tous les champs sont requis		Alle Felder müssen ausgefüllt werden																														Todos los campos son obligatorios										0
1920	Misc	Passwords don't match 																				les mots de passe ne sont pas identiques		Passwörter stimmen nicht überein																														Las contraseñas no coinciden										0
1930	Misc	Swipe to Begin 																				Glisser pour commencer		Wische um anzufangen																														Deslize para Empezar										0
1940	Misc	 Home																				 Accueil																																										0
1950	Misc	 Play																				 Jouer																																										0
1960	Misc	 Resume																				 Reprendre																																										0
1970	Misc	 Exit																				 Quitter																																										0
1980	Misc	 High Score																				 Meilleure score																																										0
1990	Misc	 Try Again																				 Essaye encore																																										0
2000	Misc	 Game Over!																				Dommage!																																										0
2010	Misc	 Score																				 Score																																										0
2020	Misc	 Lives																				 Vies																																										0
2030	Misc	 Level																				 Niveau																																										0
2040	Misc	 Rings																				 Anneaux																																										0
2050	Misc	 Difficulty																				 Difficulté																																										0
2060	Misc	Yes																																																														0
2070	Misc	No																																																														0
2080	Misc	OK																																																														0
2090	Misc	Add																																																														0
2100	Misc	Insert																																																														0
2110	Misc	Project																																																														0
2120	Misc	website						网站																Webseite												Sito Web																		Sitio Web										0
2130	Misc	How to Play						游戏说明																Anleitung												Istruzioni																		Como jugar										0
2140	Misc	About						相关																 Info																														Acerca										0
2150	Misc	Exit						走出																Beenden												Uscire																		Salida										0
2160	Misc	beer						啤酒																Bier												birra																												0
2170	Misc	game						游戏																Spiel																																								0
2180	Misc	games																																																														0
2190	Misc	bar						 酒吧																																																								0
2200	Misc	pub																																																														0
2210	Misc	drink						喝酒																Trinken																																								0
2220	Misc	cell phone																						Handy												telefonino																												0
2240	Misc	device	Used to mean 'phone'					设备																																														dispositivo										0
2250	Misc	Correct																																																														0
2260	Misc	Incorrect																																																														0
2270	Misc	Refresh																				Actualiser		Aktualisieren																																								0
2280	Misc	Map																				Carte																																										0
2290	Misc	My location																				Ma position																																										0
2320	Misc	additional description																						 Weitere Beschreibung																																								0
2330	Misc	amount																						 Betrag																																								0
2340	Misc	artist																						 Interpret																																								0
2350	Misc	at																						 am																																								0
2360	Misc	author																						 Autor																																								0
2370	Misc	book																						 Buch																																								0
2390	Misc	category																						 Kategorie																																								0
2400	Misc	cd																						 CD																																								0
2410	Misc	clear																						 Löschen																																								0
2430	Misc	contact details																						 Kontaktdetails																																								0
2440	Misc	description																						 Beschreibung																																								0
2450	Misc	dvd																						 DVD																																								0
2470	Misc	entries																						 Einträge																																								0
2480	Misc	entry																						 Eintrag																																								0
2490	Misc	from																						 von																																								0
2500	Misc	address book																						Adressbuch																																								0
2520	Misc	money																						 Geld																																								0
2530	Misc	name																						 Name																																								0
2550	Misc	other																						 Sonstiges																																								0
2560	Misc	push notification																						 Push Benachrichtigung																																								0
2580	Misc	show																						 Anzeigen																																								0
2590	Misc	title																						 Titel																																								0
2600	Misc	to																						 an																																								0
2610	Misc	tool																						 Werkzeug																																								0
2620	Misc	until																						 bis																																								0
2630	Misc	 Okay		 حسنا				好								Okay						 Ok		 Ok												 Ok		 オーケー				 좋아요						 Ok		 Ok		 Хорошо		 Bueno				ถูก		 Tamam		 Sao		0
2640	Misc	 No Thanks		 لا شكرا				不，谢谢								 Nee, bedankt						 Non Merci		 Nein Danke												 No grazie		 いいえおかげん				 더 감사하지						 Não, obrigado		 Não, obrigado		 Нет, спасибо		 No, gracias				ไม่ขอบคุณ		 Hayır, teşekkürler		 Không, cảm ơn		0
2650	Misc	 Close		 أغلق				关闭								 Sluiten						 Proche		 Schließen												 Chiudere		 クローズ				 가까운						 Fechar		 Fechar		 Близко		 Cerrar				ปิด		 Yakın		 Đóng		0
2660	Misc	 Settings		 إعدادات				设置								 Instellingen						 Réglages		 Einstellungen												 Impostazioni		 設定				 설정						 Configurações		 Configurações		 Настройки		 Configuración				การตั้งค่า		 Ayarlar		 Cài đặt		0
2670	Misc	 Anonymous Analytics		 مجهول الاحصائيات				匿名分析								 Anonieme Statistieken						 Analytics Anonymes		 Anonymous Statistik												 Statistiche anonime		 匿名解析				 익명 분석						 Anônimos Estatísticas		 Anônimos Estatísticas		 Анонимный Аналитика		 Estadísticas Anónimas				สถิติ ที่ไม่เปิดเผยตัว		 Anonim istatistik		 Vô danh Analytics		0
2680	Misc	Rate On The App Store		معدل على المتجر				在App Store上率								Rente op de App Store						Noter sur l'App Store		Rate im App Store												Vota su App Store		App Storeでのレート				앱 스토어에 속도						Taxa na App Store		Taxa na App Store		 Оценить на магазин приложений		Cambio en la App Store				อัตราที่ App Store		App Store On oranı		Tỷ lệ trên App Store		0
2690	Misc	 Restore In-App Purchases		 استعادة المشتريات في التطبيق،				恢复应用内购买								 Restore In-App Aankopen						 Restaurer Achats In-App		 Wiederherstellen In-App-Käufe												 Ripristina acquisti in-app		 アプリ内購入を復元				 인 - 앱 구매를 복원						 Restaurar In-App Compras		 Restaurar In-App Compras		 Восстановить в приложение покупки		 Restaurar Compras In-App				คืนค่าในการซื้อ App		 In-App satın geri		 Khôi phục mua trong App		0
2700	Misc	Send Feedback		أرسل ملاحظاتك				发送反馈								Feedback verzenden						Envoyer un commentaire		Feedback senden												Invia commenti		フィードバックを送信				의견 보내기						Envie seu comentário		Envie seu comentário		 Отправить отзыв		Enviar comentarios				ส่งข้อเสนอแนะ		Geribildirim Gönder		Gửi phản hồi		0
2710	Misc	 Welcome		 ترحيب				欢迎								 Welkom						 Accueil		 Willkommen												 Benvenuto		 歓迎				 환영						 Boas-vindas		 Boas-vindas		 Добро пожаловать		 Bienvenida				ยินดีต้อนรับ		 Karşılama		 Chào mừng		0
2720	Time	hour		ساعة		ঘন্টা		小时				hodina		time		uur		ساعت		tunti		heure		Stunde		ώρα		שעה		घंटा		óra		jam		ora		時間		jam		시간		time		godzina		hora		hora		час		hora		timme		ชั่วโมง		saat		giờ		0
2730	Time	minute		دقيقة		এক মিনিট সময়		分钟				minuta		minut		minuut		دقیقه		minuutti		minute		Minute		λεπτό		דקה		मिनट		perc		menit		minuto		分		menit		분		minutt		minuta		minuto		minuto		минута		minuto		minut		นาที		dakika		phút		0
2740	Time	second	Unit of time	ثان		দ্বিতীয়		第二				druhý		sekund		tweede		دوم		toinen		deuxième		zweiten		δεύτερος		שני		दूसरा		második		kedua		secondo		2番目の		liyane		초		andre		drugi		segundo		segundo		второй		segundo		andra		ที่สอง		ikinci		thứ hai		0
2750	Time	day		يوم		দিন		天				den		dag		dag		روز		päivä		jour		Tag		ημέρα		יום		दिन		nap		hari		giorno		日		dina		하루		dag		dzień		dia		dia		день		día		dag		วัน		gün		ngày		0
2760	Time	year		سنة		বছর		年				rok		år		jaar		سال		vuosi		année		Jahr		έτος		שנה		वर्ष		év		tahun		anno		年		taun		년		år		rok		ano		ano		год		año		år		ปี		yıl		năm		0
2770	Time	month		شهر		মাস		月				měsíc		måned		maand		ماه		kuukausi		mois		Monat		μήνας		חודש		माह		hónap		bulan		mese		月		sasi		달		måned		miesiąc		mês		mês		месяц		mes		månad		เดือน		ay		tháng		0
2780	Misc	Network 		شبكة		নেটওয়ার্ক		网络				síť		Netværk		netwerk		شبکه		verkko		réseau		Netzwerk		δίκτυο		רשת		संजाल		hálózat		jaringan		rete		ネットワーク		jaringan		네트워크		nettverk		sieć		rede		rede		сеть		red		Nätverk		เครือข่าย		ağ		mạng		0
2790	Misc	Version		الإصدار		সংস্করণ		版本				verze		versie	udgave	versie		نسخه		versio		Version		Version		εκδοχή		גרסה		संस्करण		változat		versi		versione		バージョン		versi		버전		versjon		wersja		versão		versão		версия		versión		version		รุ่น		versiyon		phiên bản		0
2800	Misc	Port																																																														0
2810	Misc	IP Address																																																														0
2820	Misc	last	Last thing; Last place																																																													0
2830	Misc	Test	Test' button action																																																													0
2840	Misc	Subtitle																																																														0
